index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s],Res.
1152,1162.0,0.174505185,0.172522233,1.0853,0.9681,4.5506,226.0,55.0,3e-06
1153,1163.0,0.177748148,0.17548115399999997,1.4513,0.6891,3.7623,215.0,58.0,3e-06
1154,1164.0,0.174507259,0.17194874699999999,1.2818,1.4568,2.6389,213.0,56.0,3e-06
1155,1165.0,0.181911407,0.18002664399999999,1.0492,0.9289,3.3807,218.0,55.0,3e-06
1156,1166.0,0.173438815,0.172081519,0.5343,0.982,3.3974,194.0,61.0,3e-06
1157,1167.0,0.19873896300000002,0.196962335,0.7984,2.4048,2.8798,198.0,60.0,3e-06
1159,1169.0,0.22424237,0.222643129,3.1714,15.4903,3.9692,210.0,64.0,3e-06
1161,1171.0,0.222997926,0.21976231,2.6739,4.8253,3.0714,222.0,61.0,3e-06
1163,1173.0,0.253304889,0.252926317,2.5321,12.2316,12.0445,217.0,63.0,3e-06
1164,1174.0,0.229197037,0.22867365899999997,2.4921,8.0775,12.2407,227.0,61.0,3e-06
1165,1175.0,0.224402963,0.22061696100000003,2.0884,2.7131,11.8521,225.0,60.0,3e-06
1166,1176.0,0.174680593,0.17278666199999998,0.8208,1.886,1.4891,237.0,54.0,3e-06
1167,1177.0,0.15237688900000002,0.14609055099999999,0.2748,1.3056,0.7038,215.0,50.0,3e-06
1168,1178.0,0.165508741,0.161524467,0.0151,2.1754,0.8719,215.0,54.0,3e-06
1169,1179.0,0.171099556,0.168563618,0.9653,2.4503,3.7766,239.0,64.0,3e-06
1170,1180.0,0.197585185,0.196464718,1.2113,1.3708,5.5171,266.0,77.0,3e-06
1171,1181.0,0.198182222,0.19685745600000001,1.5074,1.074,2.7510000000000003,277.0,83.0,3e-06
1172,1182.0,0.194999704,0.193741217,1.9989,2.0658,4.2654,282.0,78.0,3e-06
1173,1183.0,0.203504,0.20263583,1.4857,2.3475,3.3632,253.0,77.0,3e-06
1174,1184.0,0.205609481,0.20179568399999998,1.4015,2.7601,2.7082,249.0,77.0,3e-06
1175,1185.0,0.216753185,0.21308354100000002,1.5230000000000001,1.5885,1.479,219.0,70.0,3e-06
1176,1186.0,0.21811051899999997,0.215494637,1.0735,1.4867,1.3633,220.0,74.0,3e-06
1178,1188.0,0.21714103699999998,0.21505615399999997,2.3262,3.7313,2.5532,262.0,81.0,3e-06
1180,1190.0,0.23729629600000002,0.235900252,2.8827,6.3808,6.5265,268.0,84.0,3e-06
1183,1193.0,0.22779111100000002,0.22240771,2.189,3.4329,5.6913,257.0,72.0,3e-06
1186,1196.0,0.21487763,0.212922875,0.7064,3.8043,5.8044,288.0,76.0,3e-06
1189,1199.0,0.215866074,0.214978053,0.9568,8.7419,3.2176,257.0,79.0,3e-06
1920,1945.0,0.241326519,0.24009986600000002,3.0303,3.8652,4.9358,192.0,60.0,3e-06
1922,1947.0,0.244272593,0.24329309,3.0580000000000003,10.5526,5.591,175.0,57.0,3e-06
1923,1948.0,0.248403259,0.24613151100000003,3.3433,6.067,5.2151,203.0,75.0,3e-06
1924,1949.0,0.23978074100000002,0.237995596,1.8606,4.0646,2.5079,257.0,79.0,3e-06
1925,1950.0,0.25343111100000004,0.252451015,4.1038,4.8875,2.519,231.0,71.0,3e-06
1926,1951.0,0.23068829600000001,0.228566548,4.9343,5.7495,3.8151,178.0,58.0,3e-06
1927,1952.0,0.18282963,0.180005445,1.5376,11.1187,5.2595,136.0,44.0,3e-06
1928,1953.0,0.13440563,0.126842611,0.0,5.321665556,2.520486304,177.0,48.0,3e-06
1929,1954.0,0.13840296300000002,0.136603485,0.6277,5.8353,4.0275,107.0,37.0,3e-06
1930,1955.0,0.178607111,0.178019443,1.2134,3.2859,10.4752,142.0,46.0,3e-06
1931,1956.0,0.18197244399999998,0.178999055,1.1091,2.1748,10.2656,146.0,46.0,3e-06
1932,1957.0,0.17765925899999999,0.173688173,0.1598,1.1964,3.65,149.0,47.0,3e-06
1933,1958.0,0.159951407,0.155773986,0.2292,3.0824,1.6184,160.0,49.0,3e-06
1934,1959.0,0.187818963,0.184601144,0.6409,1.9984,1.8031,182.0,58.0,3e-06
1935,1960.0,0.195824,0.19291446,2.0018,2.1439,2.2118,198.0,60.0,3e-06
1937,1962.0,0.16755822199999998,0.162713837,1.3967,1.4298,1.6278,159.0,49.0,3e-06
1939,1964.0,0.238234963,0.236993669,1.9928,4.2156,1.1706,187.0,62.0,3e-06
1941,1966.0,0.233605333,0.233320681,0.7994,4.7393,4.5631,180.0,60.0,3e-06
1942,1967.0,0.228181926,0.22738164100000002,1.726,4.4924,3.5371,193.0,64.0,3e-06
